Borough,Median Age
Camden,33.9
Hackney,33
Hammersmith and Fulham,34.8
Haringey,35.4
Islington,32.1
Kensington and Chelsea,39.4
Lambeth,33.1
Lewisham,35
Newham,31.9
Southwark,33.4
Tower Hamlets,31.3
Wandsworth,33.9
Westminster,36.1
Barking and Dagenham,32.3
Barnet,37
Bexley,38.8
Brent,35.3
Bromley,40.6
Croydon,37.4
Ealing,36.7
Enfield,36.1
Greenwich,34.7
Harrow,38
Havering,39.2
Hillingdon,35.9
Hounslow,36
Kingston upon Thames,37.2
Merton,37.1
Redbridge,35.5
Richmond upon Thames,40.7
Sutton,39.2
Waltham Forest,34.9
